order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,1,prior,1,2,08,
2398795,1,prior,2,3,07,15
473747,1,prior,3,3,12,21
2254736,1,prior,4,4,07,29
431534,1,prior,5,4,15,28
3367565,1,prior,6,2,07,19
550135,1,prior,7,1,09,20
3108588,1,prior,8,1,14,14
2295261,1,prior,9,1,16,0
2550362,1,prior,10,4,08,30
1187899,1,train,11,4,08,14
2168274,2,prior,1,2,11,
1501582,2,prior,2,5,10,10
1901567,2,prior,3,1,10,3
738281,2,prior,4,2,10,8
1673511,2,prior,5,3,11,8
1199898,2,prior,6,2,09,13
3194192,2,prior,7,2,12,14
788338,2,prior,8,1,15,27
1718559,2,prior,9,2,09,8
1447487,2,prior,10,1,11,6
1402090,2,prior,11,1,10,30
3186735,2,prior,12,1,09,28
3268552,2,prior,13,4,11,30
839880,2,prior,14,3,10,13
1492625,2,train,15,1,11,30
1374495,3,prior,1,1,14,
444309,3,prior,2,3,19,9
3002854,3,prior,3,3,16,21
2037211,3,prior,4,2,18,20
2710558,3,prior,5,0,17,12
1972919,3,prior,6,0,16,7
1839752,3,prior,7,0,15,7
3225766,3,prior,8,0,17,7
3160850,3,prior,9,0,16,7
676467,3,prior,10,3,16,17
521107,3,prior,11,0,18,11
1402502,3,prior,12,1,15,15
2774568,3,test,13,5,15,11
3343014,4,prior,1,6,11,
2030307,4,prior,2,4,11,19
691089,4,prior,3,4,15,21
94891,4,prior,4,5,13,15
2557754,4,prior,5,5,13,0
329954,4,test,6,3,12,30
2717275,5,prior,1,3,12,
1909121,5,prior,2,0,16,11
2267326,5,prior,3,3,18,10
157374,5,prior,4,1,18,19
2196797,5,train,5,0,11,6
2086598,6,prior,1,5,18,
298250,6,prior,2,4,16,6
998866,6,prior,3,2,18,12
1528013,6,test,4,3,16,22
2565571,7,prior,1,3,09,
2402008,7,prior,2,1,19,30
121053,7,prior,3,0,18,30
1695742,7,prior,4,2,10,9
3321109,7,prior,5,5,18,3
1682003,7,prior,6,1,18,10
1014379,7,prior,7,1,15,7
776265,7,prior,8,2,12,8
2507052,7,prior,9,6,07,4
1396119,7,prior,10,1,20,9
565870,7,prior,11,0,15,6
3239072,7,prior,12,0,14,7
1175028,7,prior,13,5,15,5
3060817,7,prior,14,1,13,17
3120740,7,prior,15,3,16,2
2425840,7,prior,16,0,13,11
23391,7,prior,17,0,10,28
2984707,7,prior,18,0,09,7
369015,7,prior,19,3,12,3
2452257,7,prior,20,3,09,7
525192,7,train,21,2,11,6
600894,8,prior,1,6,00,
2979257,8,prior,2,1,08,30
2570360,8,prior,3,5,00,30
880375,8,train,4,1,14,10
280530,9,prior,1,1,17,
2762092,9,prior,2,0,14,6
1830137,9,prior,3,5,12,30
1094988,9,train,4,6,10,30
1224907,10,prior,1,2,14,
68288,10,prior,2,5,15,30
2115522,10,prior,3,3,19,12
83395,10,prior,4,3,15,14
1353310,10,prior,5,5,20,23
1822501,10,train,6,0,19,30
2411567,11,prior,1,0,11,
1170872,11,prior,2,5,11,12
2840752,11,prior,3,5,10,14
1611810,11,prior,4,5,13,30
2921164,11,prior,5,5,11,30
790927,11,prior,6,5,11,7
1468214,11,prior,7,5,09,30
1376945,11,test,8,6,11,8
1483446,12,prior,1,1,12,
1247527,12,prior,2,5,09,30
1916106,12,prior,3,5,08,14
1057378,12,prior,4,3,09,26
221248,12,prior,5,1,09,30
1356845,12,test,6,1,20,30
2618231,13,prior,1,6,12,
2560699,13,prior,2,0,11,8
2288946,13,prior,3,6,21,6
19256,13,prior,4,1,12,9
1378982,13,prior,5,0,13,6
2363981,13,prior,6,0,18,7
1906169,13,prior,7,0,08,7
1757094,13,prior,8,6,18,13
519471,13,prior,9,6,17,7
2298068,13,prior,10,6,22,7
1472646,13,prior,11,0,14,8
1789302,13,prior,12,6,13,6
1827621,13,train,13,0,21,8
2906263,14,prior,1,2,18,
3206747,14,prior,2,5,08,30
1366559,14,prior,3,0,14,2
1385564,14,prior,4,6,08,20
1691859,14,prior,5,5,08,30
2127409,14,prior,6,1,08,30
2505309,14,prior,7,5,10,30
3067644,14,prior,8,4,08,27
2109666,14,prior,9,5,09,30
1625325,14,prior,10,4,21,30
1335295,14,prior,11,1,05,25
2045336,14,prior,12,5,09,4
3394109,14,prior,13,5,05,7
2316178,14,train,14,2,19,11
2514324,15,prior,1,5,13,
3135826,15,prior,2,6,12,15
2564002,15,prior,3,6,12,7
714991,15,prior,4,1,11,16
3317979,15,prior,5,4,15,17
876095,15,prior,6,5,11,8
2685110,15,prior,7,1,11,17
3119091,15,prior,8,2,17,8
887727,15,prior,9,2,13,7
2570697,15,prior,10,2,10,21
2600170,15,prior,11,2,09,14
2883598,15,prior,12,1,08,6
2332087,15,prior,13,1,10,14
113728,15,prior,14,1,10,14
2968173,15,prior,15,1,09,7
3097485,15,prior,16,1,09,7
1870022,15,prior,17,2,16,8
1911383,15,prior,18,2,11,7
2345592,15,prior,19,5,11,3
2994589,15,prior,20,1,13,10
2715276,15,prior,21,1,09,7
487368,15,prior,22,1,10,14
2161313,15,test,23,1,09,7
1273676,16,prior,1,2,08,
875885,16,prior,2,1,13,20
1491849,16,prior,3,1,20,21
2704482,16,prior,4,6,14,12
3192400,16,prior,5,2,14,30
2000615,16,prior,6,0,14,26
1416320,16,test,7,0,13,7
1737705,17,prior,1,2,13,
1681401,17,prior,2,5,10,3
2680214,17,prior,3,3,10,5
3197376,17,prior,4,1,14,5
3237467,17,prior,5,6,17,5
2616505,17,prior,6,4,17,5
2648319,17,prior,7,1,13,4
2430354,17,prior,8,0,15,6
2373492,17,prior,9,3,13,3
900554,17,prior,10,0,15,4
805025,17,prior,11,4,15,4
912404,17,prior,12,2,14,5
1389057,17,prior,13,1,13,6
603534,17,prior,14,6,17,5
2660930,17,prior,15,2,16,3
1719551,17,prior,16,1,12,6
601444,17,prior,17,5,21,4
2956367,17,prior,18,6,12,8
2508834,17,prior,19,5,11,6
415389,17,prior,20,5,13,7
3141030,17,prior,21,2,12,4
603376,17,prior,22,6,16,4
3069802,17,prior,23,3,23,4
1683378,17,prior,24,1,10,5
2795254,17,prior,25,0,11,6
343199,17,prior,26,5,17,5
1385847,17,prior,27,4,10,6
3314059,17,prior,28,1,09,4
697863,17,prior,29,6,14,5
2148135,17,prior,30,6,15,0
3327122,17,prior,31,4,12,5
2760791,17,prior,32,1,22,4
2553089,17,prior,33,3,11,9
791858,17,prior,34,5,12,16
2773605,17,prior,35,6,13,8
674977,17,prior,36,3,12,30
2831726,17,prior,37,2,12,13
1385397,17,prior,38,1,15,30
348137,17,prior,39,5,16,11
3350883,17,prior,40,4,11,27
2180313,17,train,41,3,10,30
2780889,18,prior,1,6,18,
3106101,18,prior,2,0,17,1
1860960,18,prior,3,1,19,8
3133044,18,prior,4,0,16,6
1020460,18,prior,5,2,16,9
441977,18,prior,6,6,12,4
2461523,18,train,7,6,09,7
1321974,19,prior,1,6,13,
2293453,19,prior,2,5,14,6
2208892,19,prior,3,0,14,16
2808909,19,prior,4,5,12,5
1973799,19,prior,5,6,12,8
2474845,19,prior,6,5,13,20
532817,19,prior,7,4,17,6
2483716,19,prior,8,4,04,7
86918,19,prior,9,5,16,8
1735923,19,test,10,6,17,8
947722,20,prior,1,1,10,
157550,20,prior,2,3,16,2
3408319,20,prior,3,2,11,6
2741696,20,prior,4,2,11,7
1980631,20,test,5,1,11,30
2625565,21,prior,1,1,10,
2698037,21,prior,2,1,09,7
1166994,21,prior,3,1,13,7
129152,21,prior,4,1,14,14
62373,21,prior,5,1,14,7
2984916,21,prior,6,5,06,4
1716848,21,prior,7,5,09,28
3288630,21,prior,8,2,13,18
2592860,21,prior,9,4,10,2
1573906,21,prior,10,3,10,6
2102674,21,prior,11,1,15,12
534401,21,prior,12,1,09,21
2510446,21,prior,13,5,11,4
1082944,21,prior,14,1,09,10
3257456,21,prior,15,1,09,7
774475,21,prior,16,1,11,7
1953572,21,prior,17,2,15,1
1674891,21,prior,18,2,11,21
77791,21,prior,19,3,09,8
1413723,21,prior,20,1,10,12
1806047,21,prior,21,1,09,7
1431584,21,prior,22,3,09,9
2941505,21,prior,23,2,13,6
1322450,21,prior,24,5,08,3
1776467,21,prior,25,5,08,7
497940,21,prior,26,1,11,10
1735495,21,prior,27,3,08,9
1996394,21,prior,28,1,09,5
1110781,21,prior,29,2,09,8
2097221,21,prior,30,1,11,6
2057208,21,prior,31,3,15,9
865324,21,prior,32,1,13,12
3341737,21,prior,33,1,12,30
1854765,21,train,34,1,12,28
2300537,22,prior,1,3,07,
144358,22,prior,2,3,07,30
1219654,22,prior,3,0,21,4
2922708,22,prior,4,3,11,30
3393222,22,prior,5,5,21,16
2327987,22,prior,6,1,19,17
2455079,22,prior,7,6,17,5
634494,22,prior,8,5,09,13
1014994,22,prior,9,5,15,28
3227049,22,prior,10,3,19,5
2780464,22,prior,11,5,12,2
194741,22,prior,12,0,08,2
1766930,22,prior,13,5,10,5
3090814,22,prior,14,1,19,3
2647850,22,prior,15,4,10,30
139655,22,test,16,5,06,1
1792521,23,prior,1,5,14,
8382,23,prior,2,0,10,9
1902489,23,prior,3,5,12,5
1072926,23,prior,4,3,11,30
3402036,23,train,5,1,12,30
611214,24,prior,1,3,20,
1869748,24,prior,2,6,16,3
1511050,24,prior,3,3,21,30
2877797,24,prior,4,6,10,24
118133,24,prior,5,0,11,30
816714,24,prior,6,6,08,13
1415679,24,prior,7,0,08,15
3064712,24,prior,8,1,20,8
1640680,24,prior,9,1,08,30
3354579,24,prior,10,5,17,18
3320181,24,prior,11,4,14,6
2126098,24,prior,12,5,16,22
2586085,24,prior,13,2,11,11
1103927,24,prior,14,6,08,4
1368577,24,prior,15,0,10,15
2635041,24,prior,16,0,09,7
196008,24,prior,17,0,20,14
173172,24,prior,18,0,16,14
965160,24,train,19,0,16,0
2610576,25,prior,1,1,14,
2994388,25,prior,2,1,20,30
258751,25,prior,3,5,19,30
1411408,25,test,4,0,15,30
3229714,26,prior,1,2,15,
2284750,26,prior,2,5,11,10
1488077,26,prior,3,5,10,7
1798774,26,prior,4,4,20,6
2018734,26,prior,5,5,09,8
2827207,26,prior,6,2,15,11
2097636,26,prior,7,1,13,30
2923351,26,prior,8,3,11,30
2063028,26,prior,9,3,09,14
3350048,26,prior,10,3,14,7
135696,26,prior,11,4,17,8
232721,26,prior,12,4,17,7
2940603,26,test,13,5,14,8
361493,27,prior,1,3,09,
1662354,27,prior,2,2,17,6
965677,27,prior,3,3,08,1
2842504,27,prior,4,5,13,2
1007361,27,prior,5,2,15,4
2792524,27,prior,6,4,09,9
1771198,27,prior,7,2,14,5
1460681,27,prior,8,3,15,1
3317805,27,prior,9,4,13,1
3149167,27,prior,10,4,15,7
3141790,27,prior,11,5,11,1
1380784,27,prior,12,1,11,3
1659155,27,prior,13,2,17,1
1406911,27,prior,14,3,09,8
3247231,27,prior,15,1,14,5
2705360,27,prior,16,2,16,8
1523605,27,prior,17,2,09,7
3137551,27,prior,18,1,15,20
900590,27,prior,19,3,09,9
1060278,27,prior,20,1,16,12
1149132,27,prior,21,2,11,8
2729473,27,prior,22,3,08,8
612679,27,prior,23,2,13,6
3162630,27,prior,24,2,15,0
338996,27,prior,25,5,10,10
2305567,27,prior,26,5,14,7
1311494,27,prior,27,1,15,17
1641287,27,prior,28,3,10,2
654294,27,prior,29,3,14,0
1111867,27,prior,30,4,16,1
1194452,27,prior,31,2,14,5
3147283,27,prior,32,5,10,10
1666812,27,prior,33,4,15,6
2695034,27,prior,34,2,15,5
129025,27,prior,35,3,16,1
920968,27,prior,36,5,14,2
2005447,27,prior,37,1,10,3
1603399,27,prior,38,2,16,1
3176698,27,prior,39,1,14,6
3374715,27,prior,40,4,10,3
2392592,27,prior,41,5,10,1
1374792,27,prior,42,5,14,0
1849805,27,prior,43,5,15,0
225381,27,prior,44,2,14,4
3037479,27,prior,45,4,09,2
419099,27,prior,46,1,10,4
3359528,27,prior,47,2,14,1
1380270,27,prior,48,3,10,1
1067581,27,prior,49,3,14,0
3094422,27,prior,50,4,14,1
933179,27,prior,51,2,09,5
682914,27,prior,52,3,15,15
1149184,27,prior,53,2,09,6
65724,27,prior,54,4,15,2
2244394,27,prior,55,2,16,5
1025119,27,prior,56,3,11,1
1559403,27,prior,57,4,13,1
1615255,27,prior,58,5,08,1
1201330,27,prior,59,3,09,5
3146978,27,prior,60,4,15,1
230851,27,prior,61,1,13,4
771049,27,prior,62,2,10,1
7099,27,prior,63,3,10,1
2716757,27,prior,64,1,15,5
804483,27,prior,65,4,10,3
2325503,27,prior,66,1,12,4
1832360,27,prior,67,5,10,4
1560223,27,prior,68,2,08,4
2999232,27,prior,69,2,14,0
1250733,27,prior,70,3,15,1
2569634,27,prior,71,1,13,5
1225000,27,prior,72,1,13,7
994572,27,prior,73,5,14,4
2138705,27,prior,74,5,14,7
264488,27,prior,75,1,11,10
3276527,27,prior,76,1,14,0
625018,27,prior,77,1,08,7
568636,27,prior,78,5,15,4
2546638,27,prior,79,3,11,5
1837192,27,prior,80,2,08,6
1573122,27,prior,81,1,13,6
2614670,27,train,82,5,14,4
1138968,28,prior,1,0,14,
1589342,28,prior,2,5,13,19
3331846,28,prior,3,0,16,2
1782508,28,prior,4,3,16,17
1432100,28,prior,5,2,15,27
358148,28,prior,6,2,12,14
2657750,28,prior,7,1,17,6
2695156,28,prior,8,0,16,13
1584053,28,prior,9,1,15,30
1639907,28,prior,10,0,17,6
2760669,28,prior,11,0,07,30
1819575,28,prior,12,1,19,1
1272493,28,prior,13,5,17,11
279523,28,prior,14,2,13,18
2810971,28,prior,15,3,17,15
1481969,28,prior,16,4,12,1
181977,28,prior,17,5,13,1
979759,28,prior,18,0,17,9
2070736,28,prior,19,5,16,12
760273,28,prior,20,1,13,10
1385910,28,prior,21,2,17,1
1818037,28,prior,22,2,15,7
2195945,28,prior,23,1,14,6
1978052,28,prior,24,0,15,13
1192143,28,test,25,1,16,8
2064090,29,prior,1,5,11,
875452,29,prior,2,2,08,11
2657652,29,prior,3,2,10,14
2999889,29,prior,4,6,08,11
1207762,29,prior,5,1,11,9
370715,29,prior,6,5,11,11
1049206,29,prior,7,1,12,10
2655002,29,prior,8,4,13,10
685887,29,prior,9,6,13,9
3167222,29,prior,10,5,11,13
2865794,29,prior,11,5,09,7
1062536,29,prior,12,4,08,13
620971,29,prior,13,5,08,8
3090640,29,prior,14,1,13,17
3202175,29,prior,15,3,11,16
2376709,29,prior,16,1,11,12
1748639,29,prior,17,5,13,11
1647841,29,prior,18,5,11,14
3110252,29,train,19,4,11,13
375303,30,prior,1,1,13,
2156000,30,prior,2,1,10,7
3169631,30,prior,3,1,22,7
1645927,30,prior,4,2,13,22
986094,30,prior,5,2,11,30
2299885,30,prior,6,1,19,27
137318,30,prior,7,1,06,28
3333738,30,prior,8,1,08,30
62370,30,train,9,2,13,22
2150649,31,prior,1,5,11,
695934,31,prior,2,5,11,0
638062,31,prior,3,4,12,6
2135842,31,prior,4,3,13,6
2623412,31,prior,5,0,16,4
1183257,31,prior,6,0,16,7
1341128,31,prior,7,2,13,2
1120389,31,prior,8,0,11,5
3352995,31,prior,9,3,12,3
1593000,31,prior,10,3,08,7
2582407,31,prior,11,1,07,5
673583,31,prior,12,4,12,10
3035956,31,prior,13,3,11,6
2951746,31,prior,14,2,09,6
2258440,31,prior,15,1,08,6
2647083,31,prior,16,2,08,8
2231262,31,prior,17,3,11,8
963053,31,prior,18,3,11,0
813240,31,prior,19,0,17,4
1765409,31,prior,20,0,17,0
280888,31,test,21,4,09,18
134879,32,prior,1,3,12,
1275838,32,prior,2,3,12,30
1709286,32,prior,3,2,10,20
72626,32,prior,4,3,09,1
1210985,32,prior,5,1,23,30
3202221,32,test,6,1,13,30
2906103,33,prior,1,3,14,
2612991,33,prior,2,2,16,27
1537903,33,prior,3,1,19,30
3222866,33,test,4,6,17,19
2383661,34,prior,1,4,15,
1569834,34,prior,2,4,07,28
1916863,34,prior,3,4,14,21
1951139,34,prior,4,0,11,10
2344038,34,prior,5,0,15,21
698604,34,train,6,4,13,30
1269089,35,prior,1,5,21,
2562704,35,prior,2,3,16,26
1136841,35,prior,3,6,09,30
457048,35,prior,4,0,20,22
2880466,35,prior,5,5,16,30
1830981,35,prior,6,6,10,1
3309528,35,prior,7,3,18,4
1316279,35,prior,8,4,17,30
2903057,35,prior,9,4,16,28
707453,35,test,10,4,15,21
3285797,36,prior,1,4,17,
412111,36,prior,2,5,18,8
240889,36,prior,3,5,17,21
1602446,36,prior,4,1,11,10
2472897,36,prior,5,4,15,3
1626957,36,prior,6,5,15,15
453864,36,prior,7,6,14,15
2010389,36,prior,8,3,17,4
278124,36,prior,9,0,11,4
14400,36,prior,10,1,18,1
1145961,36,prior,11,5,19,4
746041,36,prior,12,0,16,9
682472,36,prior,13,6,15,20
3067639,36,prior,14,0,12,22
2640464,36,prior,15,5,17,12
479244,36,prior,16,3,21,5
409708,36,prior,17,0,15,11
423623,36,prior,18,4,17,18
664952,36,prior,19,0,08,3
2833188,36,prior,20,4,09,25
1185674,36,prior,21,0,09,3
2890966,36,prior,22,3,12,3
2671410,36,prior,23,4,17,22
1189699,36,prior,24,2,07,5
2138456,36,prior,25,4,10,9
669187,36,prior,26,3,18,6
1460684,36,prior,27,5,21,16
2795573,36,prior,28,0,11,16
1719560,36,prior,29,3,21,3
2693179,36,prior,30,3,21,0
903277,36,prior,31,6,12,10
2527665,36,prior,32,0,09,8
2230383,36,prior,33,3,19,3
793311,36,prior,34,6,11,10
1032510,36,prior,35,0,16,15
182125,36,prior,36,4,12,4
2710884,36,prior,37,4,12,7
1320132,36,test,38,0,08,3
327827,37,prior,1,2,10,
86313,37,prior,2,6,12,4
1354506,37,prior,3,0,01,8
2153671,37,prior,4,1,14,8
2449761,37,prior,5,2,14,8
484397,37,prior,6,5,17,10
2568429,37,prior,7,1,19,10
711999,37,prior,8,3,19,23
1145920,37,prior,9,6,14,17
1736749,37,prior,10,3,18,11
2484696,37,prior,11,4,11,8
712331,37,prior,12,6,22,30
1740853,37,prior,13,6,19,14
1394419,37,prior,14,5,14,20
1751600,37,prior,15,0,16,30
1854906,37,prior,16,5,17,5
1179244,37,prior,17,4,14,6
2615608,37,prior,18,5,17,15
2326295,37,prior,19,1,16,10
841710,37,prior,20,3,16,9
3268585,37,prior,21,2,13,13
1294288,37,prior,22,6,15,30
1727614,37,prior,23,5,16,6
1524161,37,train,24,0,13,16
2873174,38,prior,1,0,10,
1308004,38,prior,2,4,11,30
1588002,38,prior,3,0,11,17
1691300,38,prior,4,6,12,20
1244041,38,prior,5,0,14,22
718156,38,prior,6,6,09,13
894015,38,prior,7,6,10,28
795223,38,prior,8,6,18,28
3204829,38,prior,9,6,16,7
2980672,38,prior,10,5,08,27
725451,38,prior,11,0,00,9
2479273,38,prior,12,1,13,30
3173750,38,train,13,0,09,30
2782479,39,prior,1,0,12,
971516,39,prior,2,0,15,7
127769,39,prior,3,6,17,6
524816,39,prior,4,6,10,7
859009,39,prior,5,6,19,7
1493525,39,prior,6,0,12,15
2754717,39,prior,7,6,16,30
882556,39,test,8,6,13,7
2570028,40,prior,1,0,09,
2309440,40,prior,2,1,10,8
1469897,40,prior,3,6,11,12
2621404,40,prior,4,0,12,8
1132197,40,prior,5,6,09,20
2640967,40,prior,6,0,09,15
2215173,40,prior,7,0,08,21
423262,40,prior,8,0,10,7
1145465,40,prior,9,0,09,14
2431024,40,test,10,0,08,7
252244,41,prior,1,6,16,
2111787,41,prior,2,2,20,24
2838655,41,prior,3,0,13,30
2196695,41,prior,4,1,12,22
3083886,41,prior,5,0,19,27
2032076,41,train,6,0,20,30
940313,42,prior,1,2,10,
1816335,42,prior,2,1,15,6
19190,42,prior,3,1,19,7
77399,42,prior,4,1,09,7
2848715,42,prior,5,2,18,8
1560102,42,prior,6,1,19,13
232622,42,prior,7,3,13,9
378457,42,prior,8,0,10,11
521231,42,prior,9,3,19,24
2019391,42,prior,10,5,01,9
2315446,42,prior,11,3,18,19
2083588,42,prior,12,2,13,20
1602489,42,prior,13,4,12,9
2204386,42,prior,14,5,16,22
278626,42,prior,15,0,15,30
3034563,42,prior,16,0,13,14
2803975,42,train,17,0,11,14
606677,43,prior,1,1,18,
1530871,43,prior,2,4,19,24
656728,43,prior,3,4,11,7
634665,43,prior,4,3,18,6
2412774,43,prior,5,0,17,11
2580647,43,prior,6,4,16,4
1630444,43,prior,7,0,12,10
455561,43,prior,8,1,17,15
2187180,43,prior,9,4,12,3
3094389,43,prior,10,5,15,15
2770903,43,prior,11,0,12,9
1864787,43,train,12,5,11,26
1359969,44,prior,1,0,07,
462713,44,prior,2,1,09,30
2699868,44,prior,3,0,09,30
2436259,44,train,4,0,12,30
300892,45,prior,1,1,20,
784714,45,prior,2,6,19,12
374526,45,prior,3,3,20,18
1902833,45,prior,4,2,08,30
2827745,45,test,5,5,10,3
3345812,46,prior,1,1,16,
31801,46,prior,2,1,13,7
3102839,46,prior,3,1,16,0
2539168,46,prior,4,1,11,14
2518161,46,prior,5,1,17,30
1406544,46,prior,6,1,15,28
821110,46,prior,7,1,12,28
398975,46,prior,8,1,12,21
3198849,46,prior,9,1,16,14
1538381,46,prior,10,0,12,6
244623,46,prior,11,0,12,7
2998652,46,prior,12,0,16,14
1876837,46,prior,13,0,13,14
1945511,46,prior,14,0,14,14
2596585,46,prior,15,0,16,28
1254066,46,prior,16,0,15,21
2661433,46,prior,17,6,17,30
2681913,46,prior,18,0,09,22
2009771,46,prior,19,0,16,21
1947848,46,train,20,4,20,11
2857489,47,prior,1,5,16,
1303645,47,prior,2,6,15,1
2532123,47,prior,3,4,13,5
2201188,47,prior,4,2,10,12
1899315,47,prior,5,2,22,14
2906490,47,train,6,4,22,16
1035233,48,prior,1,6,16,
3166874,48,prior,2,5,13,27
2766710,48,prior,3,6,09,15
501067,48,prior,4,5,12,27
1643524,48,prior,5,6,10,29
1657641,48,prior,6,5,09,27
749250,48,prior,7,6,11,29
795269,48,prior,8,6,11,14
3067391,48,prior,9,5,18,13
555834,48,prior,10,5,22,14
2924697,48,train,11,5,18,14
1216869,49,prior,1,2,09,
